target,feat1,feat3
0.62131,34.958,0.0016424
0.61988,35.0,0.0013469
0.62472,35.042,0.0012916
0.62392,35.083,0.0021488
0.62509,35.125,0.0014533
0.61746,35.167,0.0014857
0.61711,35.208,0.0018433
0.6192,35.25,0.0015173
0.61968,35.292,0.0015866
0.61784,35.333,0.0018635
0.62487,35.375,0.0016818
0.6191,35.417,0.0016271
0.624,35.458,0.0014978
0.62328,35.5,0.0018057
0.61654,35.542,0.0014608
0.62023,35.583,0.0022426
0.62101,35.625,0.0015106
0.61865,35.667,0.001277
0.62464,35.708,0.0015574
0.61914,35.75,0.0017006
0.62575,35.792,0.0015258
0.61883,35.833,0.0014776
0.61938,35.875,0.0019635
0.61921,35.917,0.0014957
0.62261,35.958,0.0015541
0.61692,36.0,0.0014326
0.62111,36.042,0.0017287
0.61523,36.083,0.0016387
0.62544,36.125,0.0016238
0.62162,36.167,0.001809
0.6199,36.208,0.0014034
0.62264,36.25,0.0015796
0.62242,36.292,0.0014019
0.62126,36.333,0.0017574
0.62135,36.375,0.0015886
0.62122,36.417,0.0016191
0.62632,36.458,0.0015211
0.62026,36.5,0.0013968
0.61751,36.542,0.0014849
0.6187,36.583,0.0014953
0.61945,36.625,0.0017328
0.62513,36.667,0.0017442
0.61698,36.708,0.001787
0.61827,36.75,0.0018173
0.6167,36.792,0.0015819
0.62544,36.833,0.0015322
0.62033,36.875,0.0013636
0.62674,36.917,0.0015879
0.62235,36.958,0.0017681
0.61532,37.0,0.0015922
0.61618,37.042,0.0016367
0.62525,37.083,0.001285
0.62647,37.125,0.0016062
0.6164,37.167,0.001503
0.61994,37.208,0.0014647
0.62154,37.25,0.001868
0.62069,37.292,0.0016721
0.61698,37.333,0.0017547
0.61844,37.375,0.0017008
0.61807,37.417,0.0015035
0.61997,37.458,0.0018332
0.62315,37.5,0.0020303
0.62059,37.542,0.0016294
0.62724,37.583,0.0019736
0.62299,37.625,0.0019083
0.61933,37.667,0.0018054
0.61837,37.708,0.0018981
0.61641,37.75,0.0015593
0.62468,37.792,0.0016192
0.62581,37.833,0.0015725
0.61945,37.875,0.0017646
0.6191,37.917,0.0016724
0.62583,37.958,0.0016647
0.61958,38.0,0.0017181
0.62204,38.042,0.0013505
0.62042,38.083,0.0019034
0.61816,38.125,0.0019038
0.61723,38.167,0.0016513
0.61856,38.208,0.0012507
0.61689,38.25,0.0017114
0.61746,38.292,0.0016329
